"Qty","Value","Footprint","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER"
"1","3034","Battery:BAT_3034","Keystone Electronics","3034"
"4","0.1u","Capacitor_SMD:C_0805_2012Metric","NextGen Components","0805B104J500BD"
"2","1uF","Capacitor_SMD:C_0805_2012Metric","Aillen","0805B105K100CC"
"1","LED","LED_SMD:LED_0805_2012Metric","Lite-On Inc.","LTST-C171KGKT"
"1","2.2K","Resistor_SMD:R_0805_2012Metric","Stackpole Electronics Inc","RMCF0805JT2K20"
"2","4.7K","Resistor_SMD:R_0805_2012Metric","Vishay Dale","CRCW08054K70FKEAC"
"2","4.7k","Resistor_SMD:R_0805_2012Metric","Vishay Dale","CRCW08054K70FKEAC"
"1","10k","Resistor_SMD:R_0805_2012Metric","Susumu","RR1220P-103-D"
"1","JS202011JAQN","Module:JS202011JAQN","C & K COMPONENTS","JS202011JAQN"
"1","TPS7A0518PDBVR","Module:TPS7A0518PDBVR","Texas Instruments","TPS7A0518PDBVR"
"1","MAX30207BCLB+T","Module:IC_MAX30208CLB","Analog Devices Inc./Maxim Integrated","MAX30207BCLB+T"
"1","BMI270","Module:XDCR_BMI270","Bosch Sensortec","BMI270"
"1","MAX30102","Module:XDCR_MAX30101EFD_","Analog Devices Inc./Maxim Integrated","MAX30102EFD+T"
"1","ESP32-C3_SUPERMINI_TH","Module:MODULE_ESP32-C3_SUPERMINI","Espressif","ESP32-C3 Super Mini"
